threshold_label,tau,a14_benign_flag_n,a14_benign_flag_rate,a14_aivr_n,a14_aivr,a14_pairwise_discordant_n,a14_pairwise_total,a14_pairwise_aivr,n3_auth_flag_n,n3_auth_flag_rate,n3_alt_flag_n,n3_alt_flag_rate,n3_alt_minus_auth_mean,n3_alt_minus_auth_ci95_lo,n3_alt_minus_auth_ci95_hi,n3_base_positive_n,n3_base_zero_n,n3_base_negative_n,balanced_accuracy_descriptive,a14_nondegenerate,a14_central_20_80
breakpoint_126,0.11260140541664895,55,0.5729166666666666,18,0.75,63,144,0.4375,34,0.7083333333333334,38,0.7916666666666666,0.08333333333333333,-0.020833333333333332,0.1875,6,16,2,0.5416666666666666,1,1
interval_126_127,0.11260447210040533,55,0.5729166666666666,18,0.75,63,144,0.4375,34,0.7083333333333334,38,0.7916666666666666,0.08333333333333333,-0.020833333333333332,0.1875,6,16,2,0.5416666666666666,1,1
breakpoint_127,0.11260753878416171,55,0.5729166666666666,18,0.75,63,144,0.4375,34,0.7083333333333334,39,0.8125,0.10416666666666667,0.0,0.20833333333333334,6,17,1,0.5520833333333333,1,1
interval_127_128,0.1162678937451621,55,0.5729166666666666,18,0.75,63,144,0.4375,34,0.7083333333333334,39,0.8125,0.10416666666666667,0.0,0.20833333333333334,6,17,1,0.5520833333333333,1,1
breakpoint_128,0.11992824870616248,56,0.5833333333333334,18,0.75,62,144,0.4305555555555556,34,0.7083333333333334,39,0.8125,0.10416666666666667,0.0,0.20833333333333334,6,17,1,0.5520833333333333,1,1
interval_128_129,0.1220202407002609,56,0.5833333333333334,18,0.75,62,144,0.4305555555555556,34,0.7083333333333334,39,0.8125,0.10416666666666667,0.0,0.20833333333333334,6,17,1,0.5520833333333333,1,1
breakpoint_129,0.12411223269435935,57,0.59375,18,0.75,63,144,0.4375,34,0.7083333333333334,39,0.8125,0.10416666666666667,0.0,0.20833333333333334,6,17,1,0.5520833333333333,1,1
interval_129_130,0.12806572293148522,57,0.59375,18,0.75,63,144,0.4375,34,0.7083333333333334,39,0.8125,0.10416666666666667,0.0,0.20833333333333334,6,17,1,0.5520833333333333,1,1
breakpoint_130,0.1320192131686111,58,0.6041666666666666,18,0.75,64,144,0.4444444444444444,34,0.7083333333333334,39,0.8125,0.10416666666666667,0.0,0.20833333333333334,6,17,1,0.5520833333333333,1,1
interval_130_131,0.13864222073872023,58,0.6041666666666666,18,0.75,64,144,0.4444444444444444,34,0.7083333333333334,39,0.8125,0.10416666666666667,0.0,0.20833333333333334,6,17,1,0.5520833333333333,1,1
breakpoint_131,0.14526522830882935,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,34,0.7083333333333334,39,0.8125,0.10416666666666667,0.0,0.20833333333333334,6,17,1,0.5520833333333333,1,1
interval_131_132,0.1478416673058937,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,34,0.7083333333333334,39,0.8125,0.10416666666666667,0.0,0.20833333333333334,6,17,1,0.5520833333333333,1,1
breakpoint_132,0.15041810630295807,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,34,0.7083333333333334,40,0.8333333333333334,0.125,0.020833333333333332,0.22916666666666666,7,16,1,0.5625,1,1
interval_132_133,0.15117727738923187,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,34,0.7083333333333334,40,0.8333333333333334,0.125,0.020833333333333332,0.22916666666666666,7,16,1,0.5625,1,1
breakpoint_133,0.15193644847550564,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,34,0.7083333333333334,41,0.8541666666666666,0.14583333333333334,0.041666666666666664,0.25,8,15,1,0.5729166666666666,1,1
interval_133_134,0.15215354187933178,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,34,0.7083333333333334,41,0.8541666666666666,0.14583333333333334,0.041666666666666664,0.25,8,15,1,0.5729166666666666,1,1
breakpoint_134,0.15237063528315792,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,35,0.7291666666666666,41,0.8541666666666666,0.125,0.020833333333333332,0.22916666666666666,7,16,1,0.5625,1,1
interval_134_135,0.15267623062176933,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,35,0.7291666666666666,41,0.8541666666666666,0.125,0.020833333333333332,0.22916666666666666,7,16,1,0.5625,1,1
breakpoint_135,0.1529818259603807,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,36,0.75,41,0.8541666666666666,0.10416666666666667,0.0,0.20833333333333334,6,17,1,0.5520833333333333,1,1
interval_135_136,0.15615169236415258,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,36,0.75,41,0.8541666666666666,0.10416666666666667,0.0,0.20833333333333334,6,17,1,0.5520833333333333,1,1
breakpoint_136,0.15932155876792445,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,36,0.75,42,0.875,0.125,0.041666666666666664,0.20833333333333334,6,18,0,0.5625,1,1
interval_136_137,0.16071022059521697,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,36,0.75,42,0.875,0.125,0.041666666666666664,0.20833333333333334,6,18,0,0.5625,1,1
breakpoint_137,0.1620988824225095,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,37,0.7708333333333334,42,0.875,0.10416666666666667,0.0,0.20833333333333334,6,17,1,0.5520833333333333,1,1
interval_137_138,0.16406027966379264,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,37,0.7708333333333334,42,0.875,0.10416666666666667,0.0,0.20833333333333334,6,17,1,0.5520833333333333,1,1
breakpoint_138,0.16602167690507577,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,38,0.7916666666666666,42,0.875,0.08333333333333333,-0.020833333333333332,0.1875,6,16,2,0.5416666666666667,1,1
interval_138_139,0.16763312203737968,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,38,0.7916666666666666,42,0.875,0.08333333333333333,-0.020833333333333332,0.1875,6,16,2,0.5416666666666667,1,1
breakpoint_139,0.16924456716968356,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,38,0.7916666666666666,43,0.8958333333333334,0.10416666666666667,0.0,0.20833333333333334,7,15,2,0.5520833333333334,1,1
interval_139_140,0.1709757376551086,59,0.6145833333333334,18,0.75,65,144,0.4513888888888889,38,0.7916666666666666,43,0.8958333333333334,0.10416666666666667,0.0,0.20833333333333334,7,15,2,0.5520833333333334,1,1
breakpoint_140,0.1727069081405336,60,0.625,18,0.75,64,144,0.4444444444444444,38,0.7916666666666666,43,0.8958333333333334,0.10416666666666667,0.0,0.20833333333333334,7,15,2,0.5520833333333334,1,1
interval_140_141,0.17272310790485026,60,0.625,18,0.75,64,144,0.4444444444444444,38,0.7916666666666666,43,0.8958333333333334,0.10416666666666667,0.0,0.20833333333333334,7,15,2,0.5520833333333334,1,1
breakpoint_141,0.17273930766916692,61,0.6354166666666666,18,0.75,65,144,0.4513888888888889,38,0.7916666666666666,43,0.8958333333333334,0.10416666666666667,0.0,0.20833333333333334,7,15,2,0.5520833333333334,1,1
interval_141_142,0.17481561647997723,61,0.6354166666666666,18,0.75,65,144,0.4513888888888889,38,0.7916666666666666,43,0.8958333333333334,0.10416666666666667,0.0,0.20833333333333334,7,15,2,0.5520833333333334,1,1
breakpoint_142,0.1768919252907875,62,0.6458333333333334,18,0.75,64,144,0.4444444444444444,38,0.7916666666666666,43,0.8958333333333334,0.10416666666666667,0.0,0.20833333333333334,7,15,2,0.5520833333333334,1,1
interval_142_143,0.18103982294446117,62,0.6458333333333334,18,0.75,64,144,0.4444444444444444,38,0.7916666666666666,43,0.8958333333333334,0.10416666666666667,0.0,0.20833333333333334,7,15,2,0.5520833333333334,1,1
breakpoint_143,0.18518772059813482,62,0.6458333333333334,18,0.75,64,144,0.4444444444444444,39,0.8125,43,0.8958333333333334,0.08333333333333333,-0.020833333333333332,0.1875,6,16,2,0.5416666666666667,1,1
