threshold_label,tau,a14_benign_flag_n,a14_benign_flag_rate,a14_aivr_n,a14_aivr,a14_pairwise_discordant_n,a14_pairwise_total,a14_pairwise_aivr,n3_auth_flag_n,n3_auth_flag_rate,n3_alt_flag_n,n3_alt_flag_rate,n3_alt_minus_auth_mean,n3_alt_minus_auth_ci95_lo,n3_alt_minus_auth_ci95_hi,n3_base_positive_n,n3_base_zero_n,n3_base_negative_n,balanced_accuracy_descriptive,a14_nondegenerate,a14_central_20_80
breakpoint_48,-0.836859483039909,19,0.19791666666666666,14,0.5833333333333334,47,144,0.3263888888888889,9,0.1875,21,0.4375,0.25,0.10416666666666667,0.3958333333333333,10,13,1,0.625,1,0
interval_48_49,-0.8364334211467208,19,0.19791666666666666,14,0.5833333333333334,47,144,0.3263888888888889,9,0.1875,21,0.4375,0.25,0.10416666666666667,0.3958333333333333,10,13,1,0.625,1,0
breakpoint_49,-0.8360073592535328,19,0.19791666666666666,14,0.5833333333333334,47,144,0.3263888888888889,10,0.20833333333333334,21,0.4375,0.22916666666666666,0.08333333333333333,0.375,10,13,1,0.6145833333333333,1,0
interval_49_50,-0.8340843975994771,19,0.19791666666666666,14,0.5833333333333334,47,144,0.3263888888888889,10,0.20833333333333334,21,0.4375,0.22916666666666666,0.08333333333333333,0.375,10,13,1,0.6145833333333333,1,0
breakpoint_50,-0.8321614359454214,19,0.19791666666666666,14,0.5833333333333334,47,144,0.3263888888888889,11,0.22916666666666666,21,0.4375,0.20833333333333334,0.0625,0.3541666666666667,10,12,2,0.6041666666666667,1,0
interval_50_51,-0.8316646491915938,19,0.19791666666666666,14,0.5833333333333334,47,144,0.3263888888888889,11,0.22916666666666666,21,0.4375,0.20833333333333334,0.0625,0.3541666666666667,10,12,2,0.6041666666666667,1,0
breakpoint_51,-0.8311678624377661,19,0.19791666666666666,14,0.5833333333333334,47,144,0.3263888888888889,11,0.22916666666666666,22,0.4583333333333333,0.22916666666666666,0.08333333333333333,0.375,10,13,1,0.6145833333333334,1,0
interval_51_52,-0.830738922038435,19,0.19791666666666666,14,0.5833333333333334,47,144,0.3263888888888889,11,0.22916666666666666,22,0.4583333333333333,0.22916666666666666,0.08333333333333333,0.375,10,13,1,0.6145833333333334,1,0
breakpoint_52,-0.830309981639104,19,0.19791666666666666,14,0.5833333333333334,47,144,0.3263888888888889,11,0.22916666666666666,23,0.4791666666666667,0.25,0.10416666666666667,0.3958333333333333,11,12,1,0.625,1,0
interval_52_53,-0.8301134401917911,19,0.19791666666666666,14,0.5833333333333334,47,144,0.3263888888888889,11,0.22916666666666666,23,0.4791666666666667,0.25,0.10416666666666667,0.3958333333333333,11,12,1,0.625,1,0
breakpoint_53,-0.8299168987444782,19,0.19791666666666666,14,0.5833333333333334,47,144,0.3263888888888889,11,0.22916666666666666,24,0.5,0.2708333333333333,0.14583333333333334,0.3958333333333333,11,13,0,0.6354166666666667,1,0
interval_53_54,-0.8294685700746237,19,0.19791666666666666,14,0.5833333333333334,47,144,0.3263888888888889,11,0.22916666666666666,24,0.5,0.2708333333333333,0.14583333333333334,0.3958333333333333,11,13,0,0.6354166666666667,1,0
breakpoint_54,-0.8290202414047693,20,0.20833333333333334,15,0.625,50,144,0.3472222222222222,11,0.22916666666666666,24,0.5,0.2708333333333333,0.14583333333333334,0.3958333333333333,11,13,0,0.6354166666666667,1,1
interval_54_55,-0.8268757055140256,20,0.20833333333333334,15,0.625,50,144,0.3472222222222222,11,0.22916666666666666,24,0.5,0.2708333333333333,0.14583333333333334,0.3958333333333333,11,13,0,0.6354166666666667,1,1
breakpoint_55,-0.8247311696232819,20,0.20833333333333334,15,0.625,50,144,0.3472222222222222,12,0.25,24,0.5,0.25,0.125,0.375,10,14,0,0.625,1,1
interval_55_56,-0.8225020962618977,20,0.20833333333333334,15,0.625,50,144,0.3472222222222222,12,0.25,24,0.5,0.25,0.125,0.375,10,14,0,0.625,1,1
