threshold_label,tau,flag_n,flag_rate,aivr_class_n,aivr_class,aivr_pairwise_n,aivr_pairwise_total,aivr_pairwise,p1_sham_n,p1_sham_rate,p1_echo_n,p1_echo_rate,p3_user_n,p3_user_rate,p3_tool_n,p3_tool_rate
breakpoint_31,-0.22863917005618306,32,0.3333333333333333,24,1.0,76,144,0.5277777777777778,4,0.16666666666666666,24,1.0,2,0.08333333333333333,18,0.75
interval_31_32,-0.22713325203844792,32,0.3333333333333333,24,1.0,76,144,0.5277777777777778,4,0.16666666666666666,24,1.0,2,0.08333333333333333,18,0.75
breakpoint_32,-0.2256273340207128,33,0.34375,24,1.0,75,144,0.5208333333333334,3,0.125,24,1.0,3,0.125,18,0.75
interval_32_33,-0.224655561267808,33,0.34375,24,1.0,75,144,0.5208333333333334,3,0.125,24,1.0,3,0.125,18,0.75
breakpoint_33,-0.2236837885149032,34,0.3541666666666667,24,1.0,74,144,0.5138888888888888,2,0.08333333333333333,24,1.0,4,0.16666666666666666,18,0.75
interval_33_34,-0.21861840353689305,34,0.3541666666666667,24,1.0,74,144,0.5138888888888888,2,0.08333333333333333,24,1.0,4,0.16666666666666666,18,0.75
breakpoint_34,-0.21355301855888287,35,0.3645833333333333,24,1.0,73,144,0.5069444444444444,1,0.041666666666666664,24,1.0,5,0.20833333333333334,18,0.75
interval_34_35,-0.2111599118335354,35,0.3645833333333333,24,1.0,73,144,0.5069444444444444,1,0.041666666666666664,24,1.0,5,0.20833333333333334,18,0.75
breakpoint_35,-0.20876680510818796,36,0.375,24,1.0,74,144,0.5138888888888888,2,0.08333333333333333,24,1.0,5,0.20833333333333334,17,0.7083333333333334
interval_35_36,-0.20245365438737847,36,0.375,24,1.0,74,144,0.5138888888888888,2,0.08333333333333333,24,1.0,5,0.20833333333333334,17,0.7083333333333334
breakpoint_36,-0.196140503666569,37,0.3854166666666667,24,1.0,73,144,0.5069444444444444,1,0.041666666666666664,24,1.0,6,0.25,17,0.7083333333333334
interval_36_37,-0.19253575635271905,37,0.3854166666666667,24,1.0,73,144,0.5069444444444444,1,0.041666666666666664,24,1.0,6,0.25,17,0.7083333333333334
breakpoint_37,-0.1889310090388691,38,0.3958333333333333,24,1.0,74,144,0.5138888888888888,2,0.08333333333333333,24,1.0,6,0.25,16,0.6666666666666666
interval_37_38,-0.18693973694271993,38,0.3958333333333333,24,1.0,74,144,0.5138888888888888,2,0.08333333333333333,24,1.0,6,0.25,16,0.6666666666666666
breakpoint_38,-0.18494846484657074,39,0.40625,23,0.9583333333333334,71,144,0.4930555555555556,2,0.08333333333333333,23,0.9583333333333334,5,0.20833333333333334,16,0.6666666666666666
interval_38_39,-0.17855802994139186,39,0.40625,23,0.9583333333333334,71,144,0.4930555555555556,2,0.08333333333333333,23,0.9583333333333334,5,0.20833333333333334,16,0.6666666666666666
breakpoint_39,-0.17216759503621296,40,0.4166666666666667,22,0.9166666666666666,68,144,0.4722222222222222,2,0.08333333333333333,22,0.9166666666666666,4,0.16666666666666666,16,0.6666666666666666
interval_39_40,-0.1620989741199404,40,0.4166666666666667,22,0.9166666666666666,68,144,0.4722222222222222,2,0.08333333333333333,22,0.9166666666666666,4,0.16666666666666666,16,0.6666666666666666
breakpoint_40,-0.1520303532036678,41,0.4270833333333333,21,0.875,65,144,0.4513888888888889,2,0.08333333333333333,21,0.875,3,0.125,16,0.6666666666666666
interval_40_41,-0.15154213298653668,41,0.4270833333333333,21,0.875,65,144,0.4513888888888889,2,0.08333333333333333,21,0.875,3,0.125,16,0.6666666666666666
breakpoint_41,-0.15105391276940558,42,0.4375,21,0.875,66,144,0.4583333333333333,3,0.125,21,0.875,3,0.125,15,0.625
interval_41_42,-0.14802354074622637,42,0.4375,21,0.875,66,144,0.4583333333333333,3,0.125,21,0.875,3,0.125,15,0.625
breakpoint_42,-0.14499316872304718,43,0.4479166666666667,20,0.8333333333333334,63,144,0.4375,3,0.125,20,0.8333333333333334,2,0.08333333333333333,15,0.625
interval_42_43,-0.14053618301410922,43,0.4479166666666667,20,0.8333333333333334,63,144,0.4375,3,0.125,20,0.8333333333333334,2,0.08333333333333333,15,0.625
breakpoint_43,-0.13607919730517126,44,0.4583333333333333,19,0.7916666666666666,60,144,0.4166666666666667,3,0.125,19,0.7916666666666666,1,0.041666666666666664,15,0.625
interval_43_44,-0.12273311667249245,44,0.4583333333333333,19,0.7916666666666666,60,144,0.4166666666666667,3,0.125,19,0.7916666666666666,1,0.041666666666666664,15,0.625
breakpoint_44,-0.10938703603981363,45,0.46875,18,0.75,57,144,0.3958333333333333,3,0.125,18,0.75,0,0.0,15,0.625
interval_44_45,-0.09619562328107345,45,0.46875,18,0.75,57,144,0.3958333333333333,3,0.125,18,0.75,0,0.0,15,0.625
breakpoint_45,-0.08300421052233327,46,0.4791666666666667,18,0.75,58,144,0.4027777777777778,3,0.125,17,0.7083333333333334,1,0.041666666666666664,15,0.625
interval_45_46,-0.07487064779889949,46,0.4791666666666667,18,0.75,58,144,0.4027777777777778,3,0.125,17,0.7083333333333334,1,0.041666666666666664,15,0.625
breakpoint_46,-0.06673708507546572,47,0.4895833333333333,18,0.75,59,144,0.4097222222222222,3,0.125,16,0.6666666666666666,2,0.08333333333333333,15,0.625
interval_46_47,-0.059249791998626636,47,0.4895833333333333,18,0.75,59,144,0.4097222222222222,3,0.125,16,0.6666666666666666,2,0.08333333333333333,15,0.625
breakpoint_47,-0.05176249892178756,48,0.5,18,0.75,60,144,0.4166666666666667,4,0.16666666666666666,16,0.6666666666666666,2,0.08333333333333333,14,0.5833333333333334
interval_47_48,-0.04743858032015262,48,0.5,18,0.75,60,144,0.4166666666666667,4,0.16666666666666666,16,0.6666666666666666,2,0.08333333333333333,14,0.5833333333333334
breakpoint_48,-0.04311466171851769,49,0.5104166666666666,18,0.75,61,144,0.4236111111111111,5,0.20833333333333334,16,0.6666666666666666,2,0.08333333333333333,13,0.5416666666666666
interval_48_49,-0.03732132943692905,49,0.5104166666666666,18,0.75,61,144,0.4236111111111111,5,0.20833333333333334,16,0.6666666666666666,2,0.08333333333333333,13,0.5416666666666666
breakpoint_49,-0.031527997155340416,50,0.5208333333333334,18,0.75,62,144,0.4305555555555556,5,0.20833333333333334,15,0.625,3,0.125,13,0.5416666666666666
interval_49_50,-0.02194939654030639,50,0.5208333333333334,18,0.75,62,144,0.4305555555555556,5,0.20833333333333334,15,0.625,3,0.125,13,0.5416666666666666
breakpoint_50,-0.012370795925272361,51,0.53125,18,0.75,63,144,0.4375,6,0.25,15,0.625,3,0.125,12,0.5
interval_50_51,-0.00760691363135815,51,0.53125,18,0.75,63,144,0.4375,6,0.25,15,0.625,3,0.125,12,0.5
breakpoint_51,-0.002843031337443938,52,0.5416666666666666,18,0.75,64,144,0.4444444444444444,6,0.25,14,0.5833333333333334,4,0.16666666666666666,12,0.5
interval_51_52,-0.0025846146885993744,52,0.5416666666666666,18,0.75,64,144,0.4444444444444444,6,0.25,14,0.5833333333333334,4,0.16666666666666666,12,0.5
breakpoint_52,-0.002326198039754811,53,0.5520833333333334,18,0.75,65,144,0.4513888888888889,6,0.25,13,0.5416666666666666,5,0.20833333333333334,12,0.5
interval_52_53,0.005805543849896938,53,0.5520833333333334,18,0.75,65,144,0.4513888888888889,6,0.25,13,0.5416666666666666,5,0.20833333333333334,12,0.5
breakpoint_53,0.013937285739548687,54,0.5625,18,0.75,66,144,0.4583333333333333,7,0.2916666666666667,13,0.5416666666666666,5,0.20833333333333334,11,0.4583333333333333
interval_53_54,0.022178117314166145,54,0.5625,18,0.75,66,144,0.4583333333333333,7,0.2916666666666667,13,0.5416666666666666,5,0.20833333333333334,11,0.4583333333333333
breakpoint_54,0.030418948888783603,55,0.5729166666666666,18,0.75,67,144,0.4652777777777778,7,0.2916666666666667,12,0.5,6,0.25,11,0.4583333333333333
interval_54_55,0.035301559458688465,55,0.5729166666666666,18,0.75,67,144,0.4652777777777778,7,0.2916666666666667,12,0.5,6,0.25,11,0.4583333333333333
breakpoint_55,0.04018417002859333,56,0.5833333333333334,18,0.75,68,144,0.4722222222222222,8,0.3333333333333333,12,0.5,6,0.25,10,0.4166666666666667
interval_55_56,0.06917773453117636,56,0.5833333333333334,18,0.75,68,144,0.4722222222222222,8,0.3333333333333333,12,0.5,6,0.25,10,0.4166666666666667
breakpoint_56,0.09817129903375939,57,0.59375,18,0.75,69,144,0.4791666666666667,9,0.375,12,0.5,6,0.25,9,0.375
interval_56_57,0.11690411515563262,57,0.59375,18,0.75,69,144,0.4791666666666667,9,0.375,12,0.5,6,0.25,9,0.375
