threshold_label,tau,flag_n,flag_rate,aivr_class_n,aivr_class,aivr_pairwise_n,aivr_pairwise_total,aivr_pairwise,p1_sham_n,p1_sham_rate,p1_echo_n,p1_echo_rate,p3_user_n,p3_user_rate,p3_tool_n,p3_tool_rate
breakpoint_39,-0.026641548192937136,40,0.4166666666666667,20,0.8333333333333334,60,144,0.4166666666666667,2,0.08333333333333333,18,0.75,2,0.08333333333333333,18,0.75
interval_39_40,-0.023411175975498577,40,0.4166666666666667,20,0.8333333333333334,60,144,0.4166666666666667,2,0.08333333333333333,18,0.75,2,0.08333333333333333,18,0.75
breakpoint_40,-0.020180803758060018,41,0.4270833333333333,20,0.8333333333333334,61,144,0.4236111111111111,2,0.08333333333333333,17,0.7083333333333334,3,0.125,18,0.75
interval_40_41,-0.004349541909630017,41,0.4270833333333333,20,0.8333333333333334,61,144,0.4236111111111111,2,0.08333333333333333,17,0.7083333333333334,3,0.125,18,0.75
breakpoint_41,0.011481719938799984,42,0.4375,19,0.7916666666666666,58,144,0.4027777777777778,1,0.041666666666666664,17,0.7083333333333334,2,0.08333333333333333,18,0.75
interval_41_42,0.014479404569663363,42,0.4375,19,0.7916666666666666,58,144,0.4027777777777778,1,0.041666666666666664,17,0.7083333333333334,2,0.08333333333333333,18,0.75
breakpoint_42,0.017477089200526742,43,0.4479166666666667,19,0.7916666666666666,59,144,0.4097222222222222,2,0.08333333333333333,17,0.7083333333333334,2,0.08333333333333333,17,0.7083333333333334
interval_42_43,0.023297735920398615,43,0.4479166666666667,19,0.7916666666666666,59,144,0.4097222222222222,2,0.08333333333333333,17,0.7083333333333334,2,0.08333333333333333,17,0.7083333333333334
breakpoint_43,0.029118382640270488,44,0.4583333333333333,18,0.75,56,144,0.3888888888888889,1,0.041666666666666664,17,0.7083333333333334,1,0.041666666666666664,17,0.7083333333333334
interval_43_44,0.02922903882882661,44,0.4583333333333333,18,0.75,56,144,0.3888888888888889,1,0.041666666666666664,17,0.7083333333333334,1,0.041666666666666664,17,0.7083333333333334
breakpoint_44,0.029339695017382737,45,0.46875,18,0.75,57,144,0.3958333333333333,1,0.041666666666666664,16,0.6666666666666666,2,0.08333333333333333,17,0.7083333333333334
interval_44_45,0.03643356114464434,45,0.46875,18,0.75,57,144,0.3958333333333333,1,0.041666666666666664,16,0.6666666666666666,2,0.08333333333333333,17,0.7083333333333334
breakpoint_45,0.04352742727190595,46,0.4791666666666667,18,0.75,58,144,0.4027777777777778,1,0.041666666666666664,15,0.625,3,0.125,17,0.7083333333333334
interval_45_46,0.05249126637576073,46,0.4791666666666667,18,0.75,58,144,0.4027777777777778,1,0.041666666666666664,15,0.625,3,0.125,17,0.7083333333333334
breakpoint_46,0.06145510547961551,47,0.4895833333333333,18,0.75,59,144,0.4097222222222222,1,0.041666666666666664,14,0.5833333333333334,4,0.16666666666666666,17,0.7083333333333334
interval_46_47,0.06172598809743758,47,0.4895833333333333,18,0.75,59,144,0.4097222222222222,1,0.041666666666666664,14,0.5833333333333334,4,0.16666666666666666,17,0.7083333333333334
breakpoint_47,0.06199687071525966,48,0.5,18,0.75,60,144,0.4166666666666667,1,0.041666666666666664,13,0.5416666666666666,5,0.20833333333333334,17,0.7083333333333334
interval_47_48,0.06463783551240747,48,0.5,18,0.75,60,144,0.4166666666666667,1,0.041666666666666664,13,0.5416666666666666,5,0.20833333333333334,17,0.7083333333333334
breakpoint_48,0.06727880030955528,49,0.5104166666666666,18,0.75,61,144,0.4236111111111111,1,0.041666666666666664,12,0.5,6,0.25,17,0.7083333333333334
interval_48_49,0.06922165076562532,49,0.5104166666666666,18,0.75,61,144,0.4236111111111111,1,0.041666666666666664,12,0.5,6,0.25,17,0.7083333333333334
