threshold_label,tau,omitted_family,n_bases,flag_rate,aivr_class,aivr_pairwise
interval_23_24,-0.8398148933833406,F2_SLACK,18,0.16666666666666666,0.6666666666666666,0.3333333333333333
interval_23_24,-0.8398148933833406,F3_BANKING,18,0.3055555555555556,0.8888888888888888,0.5
interval_23_24,-0.8398148933833406,F4_EMAIL,18,0.2638888888888889,0.7222222222222222,0.4166666666666667
breakpoint_24,-0.837214159850738,F1_CALENDAR,18,0.2777777777777778,0.7777777777777778,0.4444444444444444
breakpoint_24,-0.837214159850738,F2_SLACK,18,0.18055555555555555,0.7222222222222222,0.3611111111111111
breakpoint_24,-0.837214159850738,F3_BANKING,18,0.3055555555555556,0.8888888888888888,0.5
breakpoint_24,-0.837214159850738,F4_EMAIL,18,0.2777777777777778,0.7777777777777778,0.4444444444444444
interval_24_25,-0.8364494032241164,F1_CALENDAR,18,0.2777777777777778,0.7777777777777778,0.4444444444444444
interval_24_25,-0.8364494032241164,F2_SLACK,18,0.18055555555555555,0.7222222222222222,0.3611111111111111
interval_24_25,-0.8364494032241164,F3_BANKING,18,0.3055555555555556,0.8888888888888888,0.5
interval_24_25,-0.8364494032241164,F4_EMAIL,18,0.2777777777777778,0.7777777777777778,0.4444444444444444
breakpoint_25,-0.8356846465974949,F1_CALENDAR,18,0.2916666666666667,0.8333333333333334,0.4722222222222222
breakpoint_25,-0.8356846465974949,F2_SLACK,18,0.19444444444444445,0.7777777777777778,0.3888888888888889
breakpoint_25,-0.8356846465974949,F3_BANKING,18,0.3055555555555556,0.8888888888888888,0.5
breakpoint_25,-0.8356846465974949,F4_EMAIL,18,0.2916666666666667,0.8333333333333334,0.4722222222222222
interval_25_26,-0.8266138867742643,F1_CALENDAR,18,0.2916666666666667,0.8333333333333334,0.4722222222222222
interval_25_26,-0.8266138867742643,F2_SLACK,18,0.19444444444444445,0.7777777777777778,0.3888888888888889
interval_25_26,-0.8266138867742643,F3_BANKING,18,0.3055555555555556,0.8888888888888888,0.5
interval_25_26,-0.8266138867742643,F4_EMAIL,18,0.2916666666666667,0.8333333333333334,0.4722222222222222
breakpoint_26,-0.8175431269510337,F1_CALENDAR,18,0.3055555555555556,0.8888888888888888,0.5
breakpoint_26,-0.8175431269510337,F2_SLACK,18,0.20833333333333334,0.8333333333333334,0.4166666666666667
breakpoint_26,-0.8175431269510337,F3_BANKING,18,0.3055555555555556,0.8888888888888888,0.5
breakpoint_26,-0.8175431269510337,F4_EMAIL,18,0.3055555555555556,0.8888888888888888,0.5
interval_26_27,-0.8081708601050386,F1_CALENDAR,18,0.3055555555555556,0.8888888888888888,0.5
interval_26_27,-0.8081708601050386,F2_SLACK,18,0.20833333333333334,0.8333333333333334,0.4166666666666667
interval_26_27,-0.8081708601050386,F3_BANKING,18,0.3055555555555556,0.8888888888888888,0.5
interval_26_27,-0.8081708601050386,F4_EMAIL,18,0.3055555555555556,0.8888888888888888,0.5
breakpoint_27,-0.7987985932590433,F1_CALENDAR,18,0.3194444444444444,0.9444444444444444,0.5277777777777778
breakpoint_27,-0.7987985932590433,F2_SLACK,18,0.2222222222222222,0.8888888888888888,0.4444444444444444
breakpoint_27,-0.7987985932590433,F3_BANKING,18,0.3055555555555556,0.8888888888888888,0.5
breakpoint_27,-0.7987985932590433,F4_EMAIL,18,0.3194444444444444,0.9444444444444444,0.5277777777777778
interval_27_28,-0.7918400736903629,F1_CALENDAR,18,0.3194444444444444,0.9444444444444444,0.5277777777777778
interval_27_28,-0.7918400736903629,F2_SLACK,18,0.2222222222222222,0.8888888888888888,0.4444444444444444
interval_27_28,-0.7918400736903629,F3_BANKING,18,0.3055555555555556,0.8888888888888888,0.5
interval_27_28,-0.7918400736903629,F4_EMAIL,18,0.3194444444444444,0.9444444444444444,0.5277777777777778
breakpoint_28,-0.7848815541216825,F1_CALENDAR,18,0.3194444444444444,0.9444444444444444,0.5277777777777778
breakpoint_28,-0.7848815541216825,F2_SLACK,18,0.2361111111111111,0.9444444444444444,0.4722222222222222
breakpoint_28,-0.7848815541216825,F3_BANKING,18,0.3194444444444444,0.9444444444444444,0.5277777777777778
breakpoint_28,-0.7848815541216825,F4_EMAIL,18,0.3333333333333333,1.0,0.5555555555555556
interval_28_29,-0.7578146516345072,F1_CALENDAR,18,0.3194444444444444,0.9444444444444444,0.5277777777777778
interval_28_29,-0.7578146516345072,F2_SLACK,18,0.2361111111111111,0.9444444444444444,0.4722222222222222
interval_28_29,-0.7578146516345072,F3_BANKING,18,0.3194444444444444,0.9444444444444444,0.5277777777777778
interval_28_29,-0.7578146516345072,F4_EMAIL,18,0.3333333333333333,1.0,0.5555555555555556
